Ticker,Total Return,Win Rate,Trades,Final Balance
LSKUSDT,-2.779051375282179,34.90566037735849,106,9722.094862471782
STBLUSDT,-0.6897018807849236,40.0,5,9931.029811921508
GUNUSDT,2.021889008949311,45.45454545454545,22,10202.188900894931
PTBUSDT,3.1259496962164666,50.0,6,10312.594969621647
GRIFFAINUSDT,6.911825577825148,42.5531914893617,47,10691.182557782515
LUMIAUSDT,3.2889435398429665,42.857142857142854,42,10328.894353984297
KOMAUSDT,9.098256322861907,40.476190476190474,42,10909.82563228619
LISTAUSDT,-5.699866395446806,27.631578947368425,76,9430.01336045532
GUSDT,-4.980981641741291,28.985507246376812,69,9501.90183582587
INITUSDT,4.843980610942909,44.0,25,10484.39806109429
JSTUSDT,-0.6819579872151189,29.629629629629626,27,9931.804201278488
GMTUSDT,-6.171838497165645,31.818181818181817,198,9382.816150283435
KASUSDT,-5.313862895820112,31.132075471698112,106,9468.613710417989
HYPEUSDT,0.7365602775517437,42.10526315789473,19,10073.656027755174
GALAUSDT,12.801319439566086,39.8406374501992,251,11280.131943956609
KMNOUSDT,-1.7039546404224892,32.0,50,9829.604535957751
JTOUSDT,0.8037731326006724,35.64356435643564,101,10080.377313260067
GMXUSDT,6.346878999945002,41.732283464566926,127,10634.6878999945
JUPUSDT,1.7606095292658028,38.0,100,10176.06095292658
LAUSDT,2.65212365404519,46.15384615384615,13,10265.212365404519
KERNELUSDT,-5.241937617724507,20.689655172413794,29,9475.80623822755
LOKAUSDT,4.579330153295559,47.368421052631575,38,10457.933015329556
LAYERUSDT,-0.7534576969800947,28.947368421052634,38,9924.65423030199
GPSUSDT,7.794156015825701,33.33333333333333,27,10779.41560158257
GRASSUSDT,6.990697054972661,45.0,40,10699.069705497266
GRTUSDT,5.382240644683462,36.507936507936506,315,10538.224064468346
KAITOUSDT,0.7286874542674923,34.21052631578947,38,10072.86874542675
TOSHIUSDT,0.8735978235369294,50.0,4,10087.359782353693
HEIUSDT,0.33871842861295587,31.03448275862069,29,10033.871842861296
GTCUSDT,5.808194086784606,35.65217391304348,230,10580.81940867846
HBARUSDT,-4.322475028605968,33.46774193548387,248,9567.752497139403
HUSDT,3.904534227248059,44.44444444444444,18,10390.453422724806
IDOLUSDT,8.761037013377337,50.0,14,10876.103701337734
HAEDALUSDT,-0.7065173281102034,33.33333333333333,24,9929.34826718898
HMSTRUSDT,-7.017978083081762,25.423728813559322,59,9298.202191691824
HUMAUSDT,2.75724295390768,45.0,20,10275.724295390768
HYPERUSDT,5.721940912409973,42.857142857142854,28,10572.194091240997
HIFIUSDT,14.824208414840886,35.8974358974359,117,11482.420841484089
HIPPOUSDT,-2.401199393912102,36.36363636363637,44,9759.88006060879
HIVEUSDT,0.9608930950429748,34.69387755102041,49,10096.089309504297
HFTUSDT,0.28807901745733033,33.84615384615385,130,10028.807901745733
HIGHUSDT,7.762510061522517,36.84210526315789,152,10776.251006152252
HOMEUSDT,1.4497346672784077,45.0,20,10144.97346672784
KEYUSDT,-1.3850536873273085,35.55555555555556,90,9861.49463126727
ICPUSDT,-4.021851495926639,32.57142857142858,175,9597.814850407336
NAORISUSDT,-4.243968030632023,37.5,8,9575.603196936798
JELLYJELLYUSDT,1.007773063508048,32.25806451612903,31,10100.777306350805
SKYUSDT,-1.1316200790553195,12.5,8,9886.837992094468
IPUSDT,3.0960937206478776,30.0,40,10309.609372064788
JOEUSDT,1.9157534809565187,36.57142857142857,175,10191.575348095652
JASMYUSDT,7.661309216489444,37.56345177664975,197,10766.130921648944
IMXUSDT,4.744179623415584,38.308457711442784,201,10474.417962341558
HOOKUSDT,-14.982849781230234,28.488372093023255,172,8501.715021876977
IOUSDT,8.009554761100954,38.55421686746988,83,10800.955476110095
HOTUSDT,1.6531223790345575,34.4,250,10165.312237903456
ICXUSDT,2.387483048693939,36.45484949832776,299,10238.748304869394
INJUSDT,-6.5268938161360355,29.78723404255319,188,9347.310618386397
IDEXUSDT,-6.9796574153587425,24.615384615384617,65,9302.034258464126
IOTXUSDT,8.29572749147559,37.610619469026545,226,10829.572749147559
IOTAUSDT,-3.7466321867554693,34.9112426035503,338,9625.336781324453
IDUSDT,-4.92253820332724,31.210191082802545,157,9507.746179667276
KDAUSDT,-0.4007313292000981,30.158730158730158,63,9959.92686707999
IOSTUSDT,-10.8312022898117,32.1875,320,8916.87977101883
METISUSDT,4.946944270304829,40.0,95,10494.694427030483
MKRUSDT,6.414102700375316,36.734693877551024,294,10641.410270037532
PUMPBTCUSDT,8.352546750777929,50.0,20,10835.254675077793
MTLUSDT,-3.083094929193994,32.35294117647059,272,9691.6905070806
MDTUSDT,1.268517561014378,31.25,48,10126.851756101438
MERLUSDT,-1.6328289977869646,32.142857142857146,28,9836.717100221304
MORPHOUSDT,0.1250580365469432,33.87096774193548,62,10012.505803654694
MANAUSDT,-6.2368361454390655,31.182795698924732,279,9376.316385456093
PROMUSDT,-1.8771953973457858,23.25581395348837,43,9812.280460265421
POLUSDT,7.178519415864922,45.16129032258064,62,10717.851941586492
MELANIAUSDT,5.739045708495015,40.0,50,10573.904570849501
POLYXUSDT,-2.90588955035053,32.592592592592595,135,9709.411044964947
PEOPLEUSDT,16.445620491042828,35.74660633484163,221,11644.562049104283
PIXELUSDT,-1.1073965094946836,35.55555555555556,90,9889.260349050532
MOVEUSDT,1.243022631893873,36.17021276595745,47,10124.302263189387
PONKEUSDT,3.3636096757331506,36.36363636363637,55,10336.360967573315
MEMEUSDT,-1.4764770902101008,36.53846153846153,104,9852.35229097899
MASKUSDT,1.9830797245342546,33.06122448979592,245,10198.307972453425
MINAUSDT,9.017642277622999,38.81578947368421,152,10901.7642277623
MBOXUSDT,3.956512032455048,34.375,64,10395.651203245505
PIPPINUSDT,5.4292478389199275,35.294117647058826,34,10542.924783891993
NEIROETHUSDT,2.6590058271431736,28.57142857142857,42,10265.900582714317
PERPUSDT,8.934865350965794,36.241610738255034,149,10893.48653509658
PHBUSDT,7.9055279560691085,39.61038961038961,154,10790.55279560691
MAVIAUSDT,-0.3570428446513324,35.483870967741936,31,9964.295715534867
PLUMEUSDT,-1.9989623498880973,28.205128205128204,39,9800.10376501119
NILUSDT,0.24252349911233978,32.0,25,10024.252349911234
LPTUSDT,4.21645731938992,35.981308411214954,214,10421.645731938992
MEMEFIUSDT,2.430321970725636,53.84615384615385,13,10243.032197072564
LTCUSDT,-12.730064672483241,28.64864864864865,370,8726.993532751676
NFPUSDT,11.151839403288285,43.56435643564357,101,11115.183940328829
MANTAUSDT,11.124842805833577,42.05607476635514,107,11112.484280583358
PNUTUSDT,2.934829437849057,35.55555555555556,45,10293.482943784906
MOODENGUSDT,-4.0027356895379675,35.08771929824561,57,9599.726431046203
PENDLEUSDT,-9.85836180055876,26.08695652173913,115,9014.163819944124
LITUSDT,2.197401468517819,35.53299492385787,197,10219.740146851782
LUNA2USDT,0.11241604516444567,36.51685393258427,178,10011.241604516445
ORDIUSDT,5.569996938412623,41.1214953271028,107,10556.999693841262
TRADOORUSDT,0.29492566465178244,33.33333333333333,3,10029.492566465178
PUMPUSDT,-2.009765888912916,23.809523809523807,21,9799.023411108708
PROMPTUSDT,-2.5652394795486364,28.57142857142857,35,9743.476052045136
PORT3USDT,-0.8504883482811239,25.0,24,9914.951165171888
NEWTUSDT,5.210535648135937,53.84615384615385,13,10521.053564813594
OXTUSDT,-5.810690060653396,30.434782608695656,138,9418.93099393466
NULSUSDT,-0.15715554278860508,30.434782608695656,23,9984.28444572114
NEIROUSDT,-1.101257951080879,28.07017543859649,57,9889.874204891912
LINAUSDT,9.496614390328796,38.23529411764706,204,10949.66143903288
LINKUSDT,-2.81453967686728,35.55555555555556,360,9718.546032313272
MILKUSDT,-6.265620872088403,11.538461538461538,26,9373.43791279116
NOTUSDT,-1.844763272945238,34.61538461538461,78,9815.523672705476
MEWUSDT,2.2240998914590637,35.526315789473685,76,10222.409989145906
MOCAUSDT,-2.10574856647494,26.53061224489796,49,9789.425143352506
ONEUSDT,9.57393185998888,38.95582329317269,249,10957.393185998888
MLNUSDT,5.120030261927296,39.285714285714285,28,10512.00302619273
POPCATUSDT,-5.877744417659451,32.30769230769231,65,9412.225558234055
LQTYUSDT,-0.34186346296257397,34.4,125,9965.813653703743
LRCUSDT,4.302239179787721,34.56375838926174,298,10430.223917978772
PYTHUSDT,0.1089469057426868,35.77981651376147,109,10010.894690574269
MYROUSDT,-2.2961530891153594,31.57894736842105,95,9770.384691088464
PENGUUSDT,4.84827026660816,39.285714285714285,56,10484.827026660816
POWRUSDT,-4.9571109803478794,28.09917355371901,121,9504.288901965212
PUNDIXUSDT,-2.074806860548651,34.48275862068966,29,9792.519313945135
ONGUSDT,-1.375529086646511,35.13513513513514,111,9862.447091335349
PAXGUSDT,0.043541789321916435,38.70967741935484,31,10004.354178932192
PLAYUSDT,-1.9863601694534918,25.0,20,9801.36398305465
ONDOUSDT,-2.9507044863279224,34.375,96,9704.929551367208
NMRUSDT,-6.455553516975324,30.28169014084507,142,9354.444648302468
OMNIUSDT,3.0149491580276666,34.61538461538461,78,10301.494915802767
OLUSDT,-0.6129236644902994,33.33333333333333,21,9938.70763355097
PHAUSDT,-1.9037401350808434,27.906976744186046,43,9809.625986491916
