Ticker,Leverage,Total Return,Win Rate,Trades,Final Balance
MAGICUSDT,10,-10.389867354043009,36.44859813084112,107,896.1013264595699
OLUSDT,10,-10.99020609345023,34.61538461538461,26,890.0979390654977
POWRUSDT,10,-11.000631852943707,31.932773109243694,119,889.9936814705629
SQDUSDT,10,-11.128555804804876,31.25,32,888.7144419519512
SYNUSDT,10,-11.277092925089448,33.33333333333333,81,887.2290707491055
FIOUSDT,10,-11.37320178703201,30.357142857142854,56,886.2679821296799
TAIKOUSDT,10,-11.434153757780336,25.925925925925924,27,885.6584624221966
BTCUSDT,10,-11.56999476802157,33.59375,128,884.3000523197843
XVSUSDT,10,-11.753864151173786,31.2,125,882.4613584882621
BNBUSDT,10,-12.395519845248463,31.132075471698112,106,876.0448015475154
SOONUSDT,10,-12.508861055746218,33.33333333333333,30,874.9113894425378
SYSUSDT,10,-12.914063074219484,33.80281690140845,71,870.8593692578052
SONICUSDT,10,-13.38316105075887,34.48275862068966,58,866.1683894924113
PLUMEUSDT,10,-13.611969389227466,29.78723404255319,47,863.8803061077253
AAVEUSDT,10,-13.968341238134224,32.800000000000004,125,860.3165876186578
NTRNUSDT,10,-14.309796275529482,32.52032520325203,123,856.9020372447052
TRUUSDT,10,-14.699467388240055,34.234234234234236,111,853.0053261175995
FUNUSDT,10,-14.87433321526057,26.31578947368421,38,851.2566678473943
KAVAUSDT,10,-15.083104083443255,31.19266055045872,109,849.1689591655675
BEAMXUSDT,10,-15.108064928788249,37.27272727272727,110,848.9193507121175
BANKUSDT,10,-15.336041865109825,36.666666666666664,30,846.6395813489017
RUNEUSDT,10,-15.380586723364683,35.53719008264463,121,846.1941327663532
ERAUSDT,10,-15.689360067673592,33.33333333333333,24,843.1063993232641
CYBERUSDT,10,-15.763922262634036,37.27272727272727,110,842.3607773736596
ICNTUSDT,10,-15.917635258870813,35.483870967741936,31,840.8236474112919
HAEDALUSDT,10,-16.02499264595758,32.35294117647059,34,839.7500735404242
TWTUSDT,10,-16.192931955989955,29.523809523809526,105,838.0706804401004
AERGOUSDT,10,-16.38510545739432,27.500000000000004,40,836.1489454260568
ANKRUSDT,10,-16.997796088995734,38.392857142857146,112,830.0220391100427
WOOUSDT,10,-17.023542929086783,32.17391304347826,115,829.7645707091322
HEIUSDT,10,-17.0676007746441,28.57142857142857,42,829.323992253559
1000000MOGUSDT,10,-17.33902178510308,34.54545454545455,55,826.6097821489692
NXPCUSDT,10,-17.802975171620073,25.806451612903224,31,821.9702482837993
CHILLGUYUSDT,10,-17.84961981890425,34.090909090909086,44,821.5038018109575
ONGUSDT,10,-17.955488974198715,35.04273504273504,117,820.4451102580128
B3USDT,10,-17.957623141261163,32.432432432432435,37,820.4237685873884
REDUSDT,10,-18.066535822589376,32.35294117647059,34,819.3346417741062
JOEUSDT,10,-18.0918828602012,33.57142857142857,140,819.081171397988
REIUSDT,10,-18.564642911231136,33.33333333333333,66,814.3535708876886
ORBSUSDT,10,-18.598635157057515,37.03703703703704,54,814.0136484294248
DEGENUSDT,10,-18.84592467898283,32.8125,64,811.5407532101717
SANDUSDT,10,-19.6407219441307,32.075471698113205,106,803.592780558693
MOCAUSDT,10,-19.79325544089974,28.8135593220339,59,802.0674455910026
1000CHEEMSUSDT,10,-20.184037755441988,29.629629629629626,54,798.1596224455801
SUSHIUSDT,10,-20.41043712721614,33.64485981308411,107,795.8956287278386
ALCHUSDT,10,-20.59685309640337,35.8974358974359,39,794.0314690359663
TIAUSDT,10,-20.882897025815122,34.67741935483871,124,791.1710297418488
COMBOUSDT,10,-20.935320818077376,32.30769230769231,65,790.6467918192262
DUSDT,10,-20.96817214035124,33.33333333333333,54,790.3182785964876
