Timestamp,Action,Symbol,Side,Price,Amount(Coin),Value(USDT),PnL(USDT),Fee(USDT),Balance(USDT)
2025-08-11 12:00:23,ENTRY,THE/USDT,Short,0.4053,124.6,50.50038,0,0.02525019,385.80761013
2025-08-11 13:00:14,ENTRY,LISTA/USDT,Short,0.3333,551.0,183.6483,0,0.09182415,391.45316595
2025-08-11 13:00:17,ENTRY,HIPPO/USDT,Short,0.002376,21071.0,50.064696,0,0.02503234,391.40640231
2025-08-11 16:00:16,ENTRY,LQTY/USDT,Long,1.1198,57.1,63.94058,0,0.03197029,389.73466432
2025-08-11 17:00:16,ENTRY,FARTCOIN/USDT,Long,1.0203,178.9,182.53167,0,0.09126583,384.758967
2025-08-11 17:00:19,ENTRY,THE/USDT,Long,0.3948,376.8,148.76064,0,0.07438032,384.68540158
2025-08-11 20:00:20,ENTRY,LISTA/USDT,Long,0.3315,50.0,16.575,0,0.0082875,387.76356051
2025-08-11 20:00:24,ENTRY,MAGIC/USDT,Short,0.2996,458.0,137.2168,0,0.0686084,387.63754074
2025-08-11 21:00:17,ENTRY,MAGIC/USDT,Long,0.2747,272.5,74.85575,0,0.03742787,394.42908386
2025-08-11 21:00:20,ENTRY,MORPHO/USDT,Long,2.0231,17.9,36.21349,0,0.01810674,394.35177616
2025-08-11 21:00:24,ENTRY,HOOK/USDT,Long,0.1062,705.0,74.871,0,0.03743549,394.25160632
2025-08-11 21:00:27,ENTRY,THE/USDT,Long,0.3708,202.4,75.04992,0,0.03752496,394.3127437
2025-08-11 21:00:30,ENTRY,MANTA/USDT,Long,0.2244,141.7,31.79748,0,0.01589874,394.13048795
2025-08-11 23:00:20,ENTRY,MORPHO/USDT,Short,2.105,36.5,76.8325,0,0.03841625,396.80435968
2025-08-12 00:00:15,ENTRY,MORPHO/USDT,Short,2.1002,1.4,2.94028,0,0.00147014,396.89856015
2025-08-12 01:00:16,ENTRY,MYRO/USDT,Short,0.02651,4551.0,120.64701,0,0.0603235,391.21774133
2025-08-12 02:00:15,ENTRY,MYRO/USDT,Short,0.03739,3162.0,118.22718,0,0.05911359,246.01362117
2025-08-12 02:00:19,ENTRY,UNI/USDT,Short,11.528,5.0,57.64,0,0.02882,246.09742551
2025-08-12 03:00:16,ENTRY,MYRO/USDT,Long,0.02997,8184.0,245.27448,0,0.12263724,258.460876
2025-08-12 07:00:16,ENTRY,FARTCOIN/USDT,Long,0.8733,90.3,78.85899,0,0.03942949,248.20951222
2025-08-12 07:00:20,ENTRY,CHILLGUY/USDT,Long,0.05458,27.0,1.47366,0,0.00073683,248.20959089
2025-08-12 08:00:15,ENTRY,MYRO/USDT,Long,0.02678,702.0,18.79956,0,0.00939978,245.44796347
2025-08-12 10:00:16,ENTRY,THE/USDT,Short,0.379,607.0,230.053,0,0.1150265,243.95929865
2025-08-17 17:00:16,ENTRY,NMR/USDT,Short,9.904,7.5,74.28,0,0.03714,245.38248409
2025-08-17 18:00:16,ENTRY,HOT/USDT,Short,0.001078,167518.0,180.584404,0,0.0902922,239.57155799
2025-08-17 20:00:18,ENTRY,NMR/USDT,Long,9.381,23.0,215.763,0,0.1078815,244.89475185
2025-08-18 00:00:34,ENTRY,ARB/USDT,Short,0.5462,324.5,177.2419,0,0.08862095,243.46622708
2025-08-18 08:00:32,ENTRY,FARTCOIN/USDT,Short,0.994,162.3,161.3262,0,0.0806631,238.18765749
2025-08-18 09:00:20,ENTRY,FARTCOIN/USDT,Long,0.9634,238.8,230.05992,0,0.11502996,242.17956104
2025-08-18 11:00:33,ENTRY,MORPHO/USDT,Long,2.0149,56.8,114.44632,0,0.05722316,240.81753779
2025-08-18 11:00:42,ENTRY,THE/USDT,Long,0.4389,260.7,114.42123,0,0.02288424,240.77744413
2025-08-18 12:00:31,ENTRY,FARTCOIN/USDT,Long,0.8979,250.6,225.01374,0,0.11250687,236.47440276
2025-08-18 17:00:27,ENTRY,API3/USDT,Short,0.8718,260.2,226.84236,0,0.04536847,238.13392137
2025-08-18 18:00:20,ENTRY,SKL/USDT,Short,0.03741,6190.0,231.5679,0,0.04631358,243.6842248
2025-08-18 23:00:15,ENTRY,MORPHO/USDT,Long,1.9326,122.1,235.97046,0,0.11798523,249.11100387
2025-08-19 00:00:21,ENTRY,MORPHO/USDT,Short,1.9817,19.6,38.84132,0,0.01942066,248.15092587
2025-08-19 17:00:15,ENTRY,1INCH/USDT,Short,0.2501,301.0,75.2801,0,0.03764005,247.5975926
2025-08-20 00:00:15,ENTRY,MYRO/USDT,Long,0.02736,8645.0,236.5272,0,0.04730544,249.82280219
