Ticker,Final Balance,Return (%),Win Rate (%),Profit Factor,MDD (%),Total Trades,Score
TOSHIUSDT,201.55,-79.84,26.85,0.62,-80.44,108,0.20440815324165032
TANSSIUSDT,199.71,-80.03,31.34,0.81,-84.54,201,0.2967664250642974
FORMUSDT,198.49,-80.15,33.08,0.86,-82.96,263,0.3388375416865174
MDTUSDT,196.32,-80.37,30.92,0.87,-86.92,304,0.30596451319381257
SUNUSDT,196.07,-80.39,30.42,0.86,-87.72,378,0.29487376014427413
KMNOUSDT,194.79,-80.52,33.33,0.92,-88.06,393,0.34430271726925665
SYSUSDT,194.74,-80.53,32.12,0.94,-81.79,467,0.3646913878487739
SWARMSUSDT,188.78,-81.12,35.88,0.99,-89.84,563,0.39103038309114924
PERPUSDT,188.68,-81.13,32.85,1.02,-92.02,974,0.3602128574500108
LINKUSDT,187.9,-81.21,35.35,1.06,-95.2,1946,0.38951143451143455
B2USDT,187.61,-81.24,33.07,0.88,-94.44,254,0.30492036881810564
RENDERUSDT,187.46,-81.25,33.66,0.95,-88.66,517,0.3566473343743029
QNTUSDT,186.83,-81.32,32.68,0.98,-89.94,820,0.3521706619749286
WAXPUSDT,185.02,-81.5,30.73,0.96,-91.69,628,0.3182738159456252
DEGOUSDT,184.53,-81.55,32.19,0.91,-90.59,351,0.31982640026203735
NAORISUSDT,181.2,-81.88,36.32,0.93,-94.44,234,0.3539145012573345
BSVUSDT,180.32,-81.97,32.38,0.96,-87.5,630,0.3512406779661017
SLERFUSDT,179.71,-82.03,34.21,0.98,-84.58,304,0.3917480719794344
IOUSDT,178.85,-82.11,34.49,0.97,-94.04,603,0.3520128367003367
PORTALUSDT,174.65,-82.54,34.01,0.99,-88.28,738,0.3771270161290322
DOODUSDT,173.43,-82.66,33.22,0.88,-84.41,295,0.342273738438122
PIEVERSEUSDT,172.68,-82.73,30.11,0.64,-87.61,93,0.21747432569687392
1000000MOGUSDT,171.48,-82.85,35.81,0.98,-87.04,592,0.3986119945479327
PLAYUSDT,171.38,-82.86,29.11,0.74,-85.79,158,0.24820140569189997
FIDAUSDT,170.69,-82.93,31.95,0.93,-82.93,457,0.35402716549505536
PENGUUSDT,170.61,-82.94,33.61,0.95,-87.95,482,0.35896008993816747
POWRUSDT,170.05,-83.0,33.12,0.97,-93.03,637,0.3416611719663937
FIOUSDT,169.71,-83.03,31.53,0.91,-85.56,406,0.33147296672828097
AIUSDT,169.58,-83.04,34.14,1.0,-88.91,782,0.3797130463797131
SCRTUSDT,166.19,-83.38,32.82,0.9,-88.1,390,0.33151515151515154
SPELLUSDT,165.42,-83.46,32.85,1.02,-89.64,1029,0.36967122683142106
DIAUSDT,164.87,-83.51,32.17,0.92,-89.65,429,0.32649089906232764
ENAUSDT,163.46,-83.65,35.75,1.0,-93.38,758,0.3787878787878788
1000FLOKIUSDT,163.49,-83.65,33.24,1.02,-85.8,1026,0.3906082949308756
JASMYUSDT,159.41,-84.06,34.49,1.04,-91.39,1354,0.3882411516397879
ACHUSDT,156.11,-84.39,33.37,1.0,-87.77,908,0.3759152866959558
CFXUSDT,154.45,-84.56,33.75,1.01,-94.34,969,0.3575361862806796
OXTUSDT,153.61,-84.64,32.42,0.96,-95.1,697,0.3238626430801249
1000WHYUSDT,151.48,-84.85,33.49,0.93,-87.74,427,0.350977011494253
HMSTRUSDT,150.0,-85.0,31.75,0.9,-95.04,400,0.2975322782174094
INUSDT,148.9,-85.11,33.82,0.85,-87.06,207,0.32644787644787643
RENUSDT,148.58,-85.14,36.5,1.05,-94.14,1663,0.40282741223460167
BDXNUSDT,147.86,-85.21,35.97,0.94,-92.24,278,0.36263191763191766
PYTHUSDT,147.53,-85.25,33.29,0.99,-90.25,784,0.36117369863013693
DODOXUSDT,147.05,-85.29,32.91,0.99,-89.01,787,0.3619697811354294
MUBARAKUSDT,146.6,-85.34,33.43,0.91,-86.18,356,0.34894815324615736
GTCUSDT,144.34,-85.57,33.94,1.05,-97.24,1697,0.36275447882736156
WALUSDT,143.67,-85.63,30.98,0.78,-90.16,255,0.2650767880649408
AVAAIUSDT,141.46,-85.85,36.17,0.97,-92.37,564,0.375762022062761
CHESSUSDT,137.1,-86.29,32.0,0.91,-89.18,450,0.32290973608338874
RIFUSDT,135.73,-86.43,32.37,0.96,-86.43,689,0.3554294864462998
BLESSUSDT,135.05,-86.49,36.52,0.87,-86.89,178,0.3615018773466834
SUIUSDT,134.36,-86.56,33.76,1.0,-93.4,945,0.35762711864406777
EPTUSDT,131.68,-86.83,33.22,0.86,-89.81,295,0.31460411848915315
EIGENUSDT,130.34,-86.97,33.03,0.94,-92.96,545,0.33044061302681993
KOMAUSDT,129.68,-87.03,34.37,0.96,-90.89,515,0.3590728044400914
XRPUSDT,128.68,-87.13,32.86,1.05,-97.55,1826,0.35010654490106546
WAVESUSDT,128.54,-87.15,34.59,1.04,-96.89,1506,0.3674900398406375
FLMUSDT,127.41,-87.26,35.73,1.06,-95.43,2046,0.3927595146738566
AVAUSDT,126.25,-87.37,30.68,0.85,-88.96,352,0.2898843930635838
TOKENUSDT,126.05,-87.4,34.66,1.01,-93.37,932,0.37095051393451306
SPXUSDT,124.14,-87.59,35.1,0.96,-92.17,584,0.36166147901685086
SOLVUSDT,121.79,-87.82,29.82,0.85,-90.53,332,0.2769255981645362
NEIROUSDT,120.53,-87.95,35.37,0.96,-90.91,605,0.36943966924164945
STMXUSDT,119.59,-88.04,34.21,1.04,-90.41,1441,0.3892178098676294
AXSUSDT,116.42,-88.36,35.04,1.05,-90.33,1949,0.4028468192269791
GRTUSDT,115.79,-88.42,35.04,1.05,-96.72,1918,0.3765042979942694
KERNELUSDT,115.56,-88.44,29.79,0.82,-92.4,292,0.2615396145610278
LIGHTUSDT,115.31,-88.47,36.23,0.77,-89.6,138,0.3079150110375276
AXLUSDT,114.49,-88.55,32.06,0.95,-89.93,652,0.3349499615088529
STEEMUSDT,111.68,-88.83,33.33,0.91,-89.57,585,0.33488241139450153
BIGTIMEUSDT,110.69,-88.93,33.62,1.0,-91.32,916,0.3641681109185442
HEIUSDT,110.71,-88.93,31.06,0.81,-93.23,293,0.2669914040114613
ONEUSDT,109.19,-89.08,35.78,1.04,-95.46,1850,0.38576819407008095
ADAUSDT,105.68,-89.43,34.23,1.04,-96.92,1855,0.3635539215686274
RAREUSDT,104.58,-89.54,31.57,0.89,-90.51,453,0.307040760572615
ACEUSDT,104.34,-89.57,33.47,0.97,-91.04,759,0.35273685354193823
ZORAUSDT,103.36,-89.66,32.77,0.78,-94.13,238,0.2686912645853044
1000SHIBUSDT,100.87,-89.91,33.66,1.03,-98.14,1524,0.3497054670163405
SHELLUSDT,100.07,-89.99,31.27,0.85,-90.61,371,0.29013753956991595
ZETAUSDT,99.61,-90.04,33.15,0.95,-92.14,712,0.3381200343568821
MANAUSDT,98.3,-90.17,33.31,1.03,-90.17,1624,0.3763222551277833
RDNTUSDT,94.36,-90.56,32.24,0.98,-95.45,884,0.3275811301192328
MLNUSDT,94.45,-90.56,27.11,0.67,-91.71,225,0.1959195340308489
GRASSUSDT,93.52,-90.65,33.8,0.93,-91.87,568,0.3384731344890707
ORBSUSDT,93.33,-90.67,31.14,0.8,-91.24,350,0.2700780572419775
TRUTHUSDT,92.56,-90.74,33.56,0.74,-91.16,146,0.26947048611111113
ALCHUSDT,92.1,-90.79,36.42,0.94,-98.2,475,0.3451088709677419
ONGUSDT,91.93,-90.81,31.75,0.91,-91.15,611,0.313537710255019
TRADOORUSDT,91.32,-90.87,36.71,0.78,-92.7,158,0.30559018143009603
XEMUSDT,90.08,-90.99,31.96,1.0,-96.01,1192,0.32945057210596845
OMUSDT,89.58,-91.04,32.69,0.98,-95.61,722,0.33160335369009414
HOOKUSDT,87.66,-91.23,33.53,0.99,-94.1,1041,0.34905047318611987
MERLUSDT,86.76,-91.32,32.56,0.78,-93.45,258,0.2688914769719428
