Leverage,Final Balance,Return (%),Win Rate (%),MDD (%),Profit Factor,Total Trades,Ticker,Score
5,595.8863048513639,-40.41136951486361,41.34790528233151,-57.8510238529542,0.937632459350474,549,BASUSDT,-0.6866723273300375
10,346.36783712688435,-65.36321628731156,43.86792452830189,-82.42511561269288,0.9652119671003966,636,BASUSDT,-0.7834956632336598
20,22.252130988239205,-97.77478690117609,44.395924308588064,-98.18039816739721,0.89139317538381,687,BASUSDT,-0.9858277311626766
1,1168.7365162064607,16.87365162064607,35.515320334261844,-9.650180669917074,1.1316890067392056,718,AUCTIONUSDT,1.5843535563962834
5,560.3403789506741,-43.965962104932586,40.100250626566414,-64.03483536649854,1.0603593984949697,2793,AUCTIONUSDT,-0.6760371092994388
10,47.32009072441714,-95.26799092755829,42.6324069218668,-96.7063894805894,1.0538460004744878,3814,AUCTIONUSDT,-0.9750436121322902
20,2.49015202900878,-99.75098479709914,46.27151051625239,-99.77440635330733,1.0070484820177255,3661,AUCTIONUSDT,-0.9898444298186173
1,948.5476594588702,-5.145234054112984,36.74698795180723,-9.346523196257913,0.9189528497837022,166,AIOUSDT,-0.49729111475571725
5,434.11468563057707,-56.588531436942304,39.45945945945946,-59.399373299692,0.8223575335565463,555,AIOUSDT,-0.9369059370228742
10,465.14386807832017,-53.48561319216799,44.962406015037594,-73.75597847383433,0.962146189145756,665,AIOUSDT,-0.7154693749462289
20,48.39111133715496,-95.16088886628451,42.77854195323246,-95.88915465918575,0.8477054405490776,727,AIOUSDT,-0.9821624432684903
1,835.7173407284407,-16.428265927155927,32.75050437121722,-24.8664531113953,0.982693511392214,1487,ATAUSDT,-0.6351186170135773
5,84.94862118871691,-91.5051378811283,38.334735071488645,-93.28969561265362,1.0069716796905566,5945,ATAUSDT,-0.9704680589598634
10,4.973135817642444,-99.50268641823577,40.20110814693207,-99.662108193323,1.0319063596259697,4873,ATAUSDT,-0.9884820435822729
20,2.4787799539378397,-99.7521220046062,43.29968673860077,-99.84373680740553,0.9885195156447406,2873,ATAUSDT,-0.9891751849211605
1,960.4713267891146,-3.9528673210885357,33.72395833333333,-17.31503877040747,1.0124112486873607,768,ARKUSDT,-0.21582631468273944
5,213.1640397153096,-78.68359602846904,39.05537459283387,-82.43599321703063,0.9806110884700838,3070,ARKUSDT,-0.9430414020937004
10,4.960427110528996,-99.5039572889471,42.066326530612244,-99.59613230855521,0.9312676499218215,3920,ARKUSDT,-0.9891429720552465
20,2.469992800378594,-99.75300071996213,45.881447267128564,-99.81564050392358,0.9564608166000907,2598,ARKUSDT,-0.9894595741429616
1,1088.9227845670982,8.892278456709823,36.231884057971016,-8.152250042892348,1.1188218205277145,414,AEROUSDT,0.9715947898097016
5,1212.6839178486123,21.26839178486123,44.043092522179975,-26.295639925440106,1.120969634830508,1578,AEROUSDT,0.7791864137626846
10,440.9118353103431,-55.90881646896568,45.04289799809342,-65.24395408789833,1.0743832013103425,2098,AEROUSDT,-0.8439836848322931
20,44.753128683310145,-95.52468713166898,47.98130046748831,-96.43578036667607,1.0122527986369771,2353,AEROUSDT,-0.9803861248114897
1,774.3170337317221,-22.568296626827795,31.941391941391938,-30.044145766007883,0.9508929990258622,1365,API3USDT,-0.7269743157674253
5,24.795400370731073,-97.52045996292689,37.86094224924012,-97.70393529537095,0.9154287110054545,5264,API3USDT,-0.9880098465283829
10,4.99398364534543,-99.50060163546546,39.77605971740869,-99.54933123105751,0.9506425731161557,3751,API3USDT,-0.9895699992953496
20,2.475507653740302,-99.75244923462596,42.434782608695656,-99.84202022261907,1.0008889386102728,2300,API3USDT,-0.9891952681472687
1,882.9793766923557,-11.702062330764432,36.51685393258427,-12.541558524972302,0.857813384340107,178,BLESSUSDT,-0.8641591962390731
5,625.6253627889434,-37.43746372110566,44.57013574660634,-41.15187365923122,0.9124294941075304,442,BLESSUSDT,-0.8881565745751112
10,262.3194193007102,-73.76805806992898,46.942800788954635,-76.5537196447678,0.8762640445673735,507,BLESSUSDT,-0.9511865892161084
20,24.11766379918643,-97.58823362008135,48.39319470699433,-97.79723276465919,0.7588360480867387,529,BLESSUSDT,-0.9877628238084589
1,1023.0931624737283,2.309316247372829,34.454638124362894,-18.23283778629707,1.0456456819086983,981,APTUSDT,0.12007152938284338
5,167.68307395831167,-83.23169260416884,38.439095550692926,-89.88843092114283,1.0070753982395677,4113,APTUSDT,-0.9157567333996868
10,8.786439688366288,-99.12135603116337,41.81596799443382,-99.54571573863622,0.9991999296770694,5749,APTUSDT,-0.9858337105961292
20,2.486640475652018,-99.7513359524348,42.71408839779006,-99.89102031243357,1.0164453481762306,2896,APTUSDT,-0.9887038077673369
1,1027.2947550853096,2.729475508530959,35.237068965517246,-10.17445071431487,1.0446622540274313,928,ARKMUSDT,0.24426037380382407
5,177.07061157391044,-82.29293884260895,40.09533898305085,-82.51820475018432,0.9769412969480181,3776,ARKMUSDT,-0.9853293553035493
10,4.9563635876657886,-99.50436364123341,43.107281823235134,-99.52841388792537,0.9116651718235895,3598,ARKMUSDT,-0.989813325336719
20,2.4493482073138306,-99.75506517926863,44.31893687707642,-99.7725043237592,0.9359887393756215,1505,ARKMUSDT,-0.9899036036534156
1,1070.6057742580713,7.0605774258071285,36.666666666666664,-6.489781864430694,1.1854383180949792,210,ASRUSDT,0.9426946676962815
5,1034.8172524053355,3.481725240533547,39.21052631578947,-26.762671473394427,1.1038643439428653,760,ASRUSDT,0.12541031016666246
10,421.29512319390676,-57.87048768060933,41.1875589066918,-67.46394498710633,1.0194116269036413,1061,ASRUSDT,-0.8452695457661394
20,105.0866889814074,-89.49133110185926,43.72093023255814,-89.79818527503906,1.008576830486553,1290,ASRUSDT,-0.9856070452375102
1,1053.798829626745,5.3798829626744915,35.80246913580247,-19.47158323366075,1.0743880250150937,324,ALPACAUSDT,0.26279760100960475
5,362.0427928381476,-63.795720716185244,40.503035559410236,-73.9650903340263,0.9217235893856337,1153,ALPACAUSDT,-0.851005720555087
10,72.00408609681934,-92.79959139031806,42.22674813306178,-96.36836901930008,0.907389716023946,1473,ALPACAUSDT,-0.9530773938703193
20,2.0536503994914277,-99.79463496005086,45.588235294117645,-99.86570203018681,0.9321849393980146,1632,ALPACAUSDT,-0.9893812559811916
1,973.8463586053912,-2.615364139460883,33.457249070631974,-12.21857852990906,0.9919570630071823,269,ATHUSDT,-0.19785517281931794
5,742.2035152019563,-25.779648479804372,42.20647773279352,-32.21733105264093,1.0234347431415118,988,ATHUSDT,-0.7760903017449011
